GroupID,LC_Adj,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
LY252,5,NA,NA,NA,0.52,29.851,30.16
LY253,1,0.973,31.429,32.13,NA,NA,NA
LY253,2,0.86,32.064,32.417,0.973,31.429,32.13
LY253,3,0.865,30.721,31.335,0.86,32.064,32.417
LY253,4,0.47,29.804,30.09,0.865,30.721,31.335
LY253,5,NA,NA,NA,0.47,29.804,30.09
LY272,1,1.815,31.722,32.668,NA,NA,NA
LY272,2,1.154,32.23,32.868,1.815,31.722,32.668
LY272,3,1.207,30.888,31.72,1.154,32.23,32.868
LY272,4,0.412,29.951,30.227,1.207,30.888,31.72
LY272,5,NA,NA,NA,0.412,29.951,30.227
LY272,1,1.815,31.722,32.668,NA,NA,NA
LY272,2,1.154,32.23,32.868,1.815,31.722,32.668
LY272,3,1.207,30.888,31.72,1.154,32.23,32.868
LY272,4,0.412,29.951,30.227,1.207,30.888,31.72
LY272,5,NA,NA,NA,0.412,29.951,30.227
LY274B14,1,1.091,31.498,32.266,NA,NA,NA
LY274B14,2,1.194,32.014,32.634,1.091,31.498,32.266
LY274B14,3,0.826,30.711,31.313,1.194,32.014,32.634
LY274B14,4,0.51,29.817,30.11,0.826,30.711,31.313
LY274B14,1,1.091,31.498,32.266,NA,NA,NA
LY274B14,2,1.194,32.014,32.634,1.091,31.498,32.266
LY274B14,3,0.826,30.711,31.313,1.194,32.014,32.634
LY274B14,4,0.51,29.817,30.11,0.826,30.711,31.313
LY274B14,5,NA,NA,NA,0.51,29.817,30.11
LY344,1,2.206,31.827,32.992,NA,NA,NA
LY344,2,0.625,31.822,32.165,2.206,31.827,32.992
LY344,3,1.4,30.932,31.57,0.625,31.822,32.165
LY344,4,0.727,30.079,30.457,1.4,30.932,31.57
LY344,5,NA,NA,NA,0.727,30.079,30.457
LY344,1,2.206,31.827,32.992,NA,NA,NA
LY344,2,0.625,31.822,32.165,2.206,31.827,32.992
LY344,3,1.4,30.932,31.57,0.625,31.822,32.165
LY344,4,0.727,30.079,30.457,1.4,30.932,31.57
LY344,5,NA,NA,NA,0.727,30.079,30.457
LY347,1,1.123,31.657,32.478,NA,NA,NA
LY347,2,1.416,31.93,32.516,1.123,31.657,32.478
LY347,3,0.75,30.853,31.38,1.416,31.93,32.516
LY347,4,0.77,29.933,30.28,0.75,30.853,31.38
LY347,5,NA,NA,NA,0.77,29.933,30.28
LY347,1,1.123,31.657,32.478,NA,NA,NA
LY347,2,1.416,31.93,32.516,1.123,31.657,32.478
LY347,3,0.75,30.853,31.38,1.416,31.93,32.516
LY347,4,0.77,29.933,30.28,0.75,30.853,31.38
LY347,5,NA,NA,NA,0.77,29.933,30.28
LY353B002,1,1.867,31.473,32.57,NA,NA,NA
LY353B002,2,0.933,32.076,32.678,1.867,31.473,32.57
LY353B002,3,0.967,30.831,31.457,0.933,32.076,32.678
LY353B002,4,0.952,29.842,30.543,0.967,30.831,31.457
LY353B002,5,NA,NA,NA,0.952,29.842,30.543
LY353B002,1,1.867,31.473,32.57,NA,NA,NA
LY353B002,2,0.933,32.076,32.678,1.867,31.473,32.57
LY353B002,3,0.967,30.831,31.457,0.933,32.076,32.678
LY353B002,4,0.952,29.842,30.543,0.967,30.831,31.457
LY353B002,5,NA,NA,NA,0.952,29.842,30.543
LY355B012,1,2.027,31.535,32.697,NA,NA,NA
LY355B012,2,0.907,32.119,32.45,2.027,31.535,32.697
